otu,delim
OTU144,210
OTU3329,210
OTU1995,210
OTU1622,211
OTU1165,212
OTU947,213
OTU945,213
OTU935,213
OTU4358,213
OTU2363,214
OTU2006,214
OTU3278,215
OTU828,216
OTU269,216
OTU776,217
OTU2741,217
OTU4648,218
OTU527,219
OTU3912,220
OTU1889,220
OTU1676,220
OTU3814,220
OTU452,220
OTU3480,220
OTU106,221
OTU2094,221
OTU3908,222
OTU4187,223
OTU2963,224
OTU1945,224
OTU637,224
OTU2322,225
OTU1347,225
OTU2755,225
OTU697,225
OTU2764,225
OTU2403,225
OTU1203,225
OTU257,225
OTU393,225
OTU2826,226
OTU973,226
OTU1142,226
OTU1360,226
OTU1501,226
OTU1913,227
OTU2073,228
OTU3124,228
OTU567,229
OTU1781,229
OTU2290,229
OTU4840,229
OTU932,229
OTU401,229
OTU1138,229
OTU4141,229
OTU2470,229
OTU4273,229
OTU1145,229
OTU2632,229
OTU2135,229
OTU5075,230
OTU2093,231
OTU2199,231
OTU805,232
OTU1989,232
OTU1595,233
OTU371,233
OTU1897,233
OTU480,234
OTU1568,234
OTU225,235
OTU209,235
OTU1207,236
OTU307,237
OTU956,238
OTU4355,239
OTU2193,239
OTU1840,240
OTU4471,241
OTU845,242
OTU219,242
OTU1785,242
OTU633,242
OTU888,242
OTU1576,242
OTU3731,243
OTU2568,243
OTU3251,244
OTU4482,245
OTU619,246
OTU447,247
OTU1049,248
OTU3635,248
OTU3887,249
OTU1910,250
OTU4348,251
OTU4025,251
OTU3387,252
OTU4070,253
OTU2805,253
OTU3318,254
OTU1514,255
OTU3233,255
OTU2760,256
OTU3753,257
OTU4579,258
OTU439,258
OTU379,259
OTU481,259
OTU2098,259
OTU2100,259
OTU3532,259
OTU2453,259
OTU2042,259
OTU2416,259
OTU502,260
OTU3453,261
OTU4449,261
OTU2779,262
OTU320,262
OTU309,262
OTU1978,263
OTU361,264
OTU1183,264
OTU390,265
OTU1315,265
OTU2638,265
OTU3126,265
OTU42,265
OTU852,265
OTU482,265
OTU289,265
OTU77,265
OTU846,265
OTU765,265
OTU165,265
OTU122,265
OTU720,265
OTU2312,265
OTU489,265
OTU814,265
OTU3353,266
OTU4761,267
OTU4335,268
OTU4003,269
OTU3725,270
OTU3500,271
OTU1786,271
OTU2697,271
OTU3685,271
OTU2058,271
OTU2742,272
OTU1610,273
OTU1997,274
OTU3995,274
OTU1813,275
OTU565,275
OTU538,276
OTU2081,277
OTU1930,277
OTU1980,277
OTU1084,278
OTU3261,279
OTU4476,279
OTU79,280
OTU4807,280
OTU2614,280
OTU2382,281
OTU2283,282
OTU4978,282
OTU3062,282
OTU2250,282
OTU4019,282
OTU2398,282
OTU5286,282
OTU4830,282
OTU3807,282
OTU2645,282
OTU3131,282
OTU4014,283
OTU5081,284
OTU3138,285
OTU3982,285
OTU3355,285
OTU4609,285
OTU1461,286
OTU3813,286
OTU890,286
OTU972,286
OTU1093,286
OTU1032,286
OTU2640,286
OTU3328,286
OTU1139,287
OTU2430,288
OTU534,289
OTU72,289
OTU4061,290
OTU1943,291
OTU1641,292
OTU878,292
OTU399,293
OTU2784,294
OTU3551,295
OTU650,296
OTU1435,297
OTU1490,298
OTU1552,298
OTU1424,299
OTU5088,300
OTU2261,300
OTU2952,300
OTU1174,301
OTU4125,302
OTU3376,302
OTU251,303
OTU125,303
OTU5154,304
OTU4763,305
OTU4041,306
OTU2192,306
OTU2917,306
OTU4237,307
OTU3902,308
OTU342,308
OTU2594,308
OTU3843,309
OTU1688,310
OTU1789,311
OTU2737,311
OTU244,311
OTU172,311
OTU326,311
OTU89,311
OTU5087,311
OTU3300,312
OTU3709,312
OTU1313,312
OTU3952,312
OTU3070,313
OTU1782,313
OTU278,313
OTU1007,313
OTU1870,313
OTU695,313
OTU676,313
OTU75,313
OTU126,313
OTU47,313
OTU961,313
OTU793,313
OTU2682,313
OTU1512,313
OTU3184,313
OTU1646,313
OTU271,314
OTU4674,315
OTU3524,316
OTU1054,316
OTU3031,317
OTU4748,318
OTU1520,318
OTU2635,318
OTU2988,318
OTU5248,319
OTU4524,320
OTU3095,321
OTU743,322
OTU2718,322
OTU1898,323
OTU1794,323
OTU1854,323
OTU1133,323
OTU1291,323
OTU150,323
OTU4833,323
OTU5109,323
OTU3439,324
OTU3179,325
OTU3473,326
OTU1295,326
OTU4152,326
OTU737,327
OTU3604,328
OTU2044,328
OTU4154,328
OTU1188,328
OTU2175,329
OTU450,330
OTU68,331
OTU137,332
OTU1878,332
OTU105,332
OTU171,332
OTU519,332
OTU4037,332
OTU2656,332
OTU686,332
OTU261,332
OTU3656,332
OTU4846,333
OTU4114,333
OTU3514,334
OTU3430,334
OTU3548,334
OTU3098,335
OTU1047,335
OTU3690,335
OTU2140,336
OTU1964,337
OTU3227,338
OTU1335,338
OTU1517,339
OTU5010,340
OTU3588,341
OTU1511,341
OTU3644,342
OTU4682,343
OTU194,344
OTU3919,345
OTU1319,345
OTU1852,346
OTU1906,346
OTU17,346
OTU3636,346
OTU1959,346
OTU1345,347
OTU707,348
OTU233,348
OTU2405,348
OTU1038,348
OTU2219,348
OTU2126,348
OTU680,349
OTU2225,349
OTU117,349
OTU3674,350
OTU520,350
OTU2889,350
OTU1433,351
OTU4514,351
OTU3364,351
OTU861,351
OTU3909,351
OTU1008,351
OTU246,351
OTU816,351
OTU817,351
OTU1914,351
OTU4927,351
OTU4970,352
OTU4461,353
OTU660,353
OTU3668,353
OTU2585,354
OTU1338,355
OTU3781,356
OTU899,356
OTU487,356
