otu,delim
OTU4976,138
OTU335,139
OTU849,140
OTU1154,141
OTU2048,141
OTU1755,141
OTU2775,142
OTU2842,142
OTU3734,142
OTU2119,142
OTU5295,142
OTU2916,142
OTU3400,143
OTU237,144
OTU497,144
