otu,delim
OTU344,118
OTU1409,119
OTU833,120
OTU2249,120
OTU1447,120
OTU2409,121
OTU4527,122
OTU3164,122
OTU2611,123
OTU2551,123
OTU963,123
OTU3652,123
OTU1385,123
OTU1181,123
OTU2374,123
OTU3972,123
OTU1926,123
OTU2572,123
OTU3985,123
OTU3092,123
OTU3820,124
OTU2532,124
OTU3793,124
OTU532,125
OTU842,125
OTU4009,125
OTU3427,126
OTU2992,126
OTU2524,126
OTU4558,127
OTU1825,127
OTU1585,127
OTU3939,128
OTU1591,128
OTU1915,128
OTU2051,128
OTU1754,128
OTU798,128
OTU4236,129
OTU4561,129
OTU4260,129
OTU2817,129
OTU1833,130
OTU5078,130
OTU2472,130
OTU2738,130
OTU4559,131
OTU2223,132
OTU5058,133
OTU4167,134
OTU501,135
OTU99,135
OTU1619,135
OTU90,135
OTU1413,135
OTU1252,135
OTU687,135
OTU786,135
OTU3612,135
OTU543,135
OTU762,135
OTU329,135
OTU2220,135
OTU486,135
OTU2603,135
OTU1477,135
OTU1769,135
OTU38,135
OTU228,135
OTU51,135
OTU217,135
OTU45,135
OTU1066,135
OTU3235,135
OTU572,135
OTU545,135
OTU2598,135
OTU1359,135
OTU1214,136
OTU1050,136
OTU2323,137
OTU3189,137
OTU4843,137
OTU4357,137
OTU3535,137
OTU2721,137
OTU725,137
OTU2615,137
OTU2320,137
OTU3196,137
OTU3862,137
OTU5118,137
OTU4676,137
OTU1708,137
OTU3771,137
OTU2040,137
OTU4267,137
OTU2657,137
OTU3900,137
OTU3824,137
OTU3412,137
OTU936,137
OTU2208,137
OTU1416,137
OTU3352,137
OTU1502,138
OTU4307,139
OTU207,139
OTU1529,139
OTU4541,139
OTU272,140
OTU1083,140
OTU236,140
OTU986,140
OTU1153,141
OTU4158,141
OTU1404,141
OTU3232,142
OTU1772,142
OTU2566,142
OTU3477,142
OTU1524,142
OTU2824,142
OTU4059,142
OTU3708,143
OTU4202,143
OTU2829,143
OTU4368,144
