otu,delim
OTU3540,158
OTU3045,158
OTU3467,158
OTU887,158
OTU1904,159
OTU667,160
OTU756,161
OTU829,161
OTU154,161
OTU657,161
OTU142,161
OTU394,161
OTU343,161
OTU978,161
OTU3240,162
OTU2239,162
OTU508,162
OTU1493,162
OTU2350,162
OTU712,163
OTU1547,164
OTU433,164
OTU2107,164
OTU2643,165
OTU2258,166
OTU3666,166
OTU1218,166
OTU2240,166
OTU252,166
OTU3207,167
OTU1204,168
OTU2564,168
OTU2200,168
OTU4924,168
OTU2400,169
OTU729,169
OTU2171,169
OTU2034,170
OTU1466,170
OTU2907,170
OTU1690,170
OTU3389,170
OTU2518,171
OTU2442,172
